X_Serie_0,Y_Serie_0
8.0177E+001,-1.1760E-004
8.0692E+001,-1.1851E-004
8.1206E+001,-1.1928E-004
8.1721E+001,-1.2038E-004
8.2236E+001,-1.2112E-004
8.2750E+001,-1.2155E-004
8.3265E+001,-1.2272E-004
8.3780E+001,-1.2386E-004
8.4295E+001,-1.2448E-004
8.4809E+001,-1.2545E-004
8.5324E+001,-1.2664E-004
8.5839E+001,-1.2792E-004
8.6354E+001,-1.2818E-004
8.6868E+001,-1.2850E-004
8.7383E+001,-1.2944E-004
8.7898E+001,-1.3021E-004
8.8413E+001,-1.3096E-004
8.8928E+001,-1.3251E-004
8.9442E+001,-1.3414E-004
8.9957E+001,-1.3547E-004
9.0472E+001,-1.3634E-004
9.0987E+001,-1.3708E-004
9.1501E+001,-1.3806E-004
9.2016E+001,-1.3938E-004
9.2531E+001,-1.4050E-004
9.3046E+001,-1.4161E-004
9.3560E+001,-1.4275E-004
9.4075E+001,-1.4388E-004
9.4590E+001,-1.4520E-004
9.5105E+001,-1.4659E-004
9.5619E+001,-1.4816E-004
9.6134E+001,-1.4956E-004
9.6649E+001,-1.5081E-004
9.7164E+001,-1.5247E-004
9.7678E+001,-1.5417E-004
9.8193E+001,-1.5656E-004
9.8708E+001,-1.5957E-004
9.9222E+001,-1.6206E-004
