X_Serie_0,Y_Serie_0
5.4439E+001,-9.5602E-005
5.4954E+001,-9.5960E-005
5.5469E+001,-9.6906E-005
5.5983E+001,-9.7236E-005
5.6498E+001,-9.7620E-005
5.7013E+001,-9.8149E-005
5.7528E+001,-9.7956E-005
5.8042E+001,-9.8362E-005
5.8557E+001,-9.9381E-005
5.9072E+001,-1.0080E-004
5.9587E+001,-1.0203E-004
6.0101E+001,-1.0230E-004
6.0616E+001,-1.0265E-004
6.1131E+001,-1.0309E-004
6.1646E+001,-1.0343E-004
6.2160E+001,-1.0345E-004
6.2675E+001,-1.0349E-004
6.3190E+001,-1.0346E-004
6.3705E+001,-1.0367E-004
6.4219E+001,-1.0406E-004
6.4734E+001,-1.0383E-004
6.5249E+001,-1.0425E-004
6.5764E+001,-1.0468E-004
6.6278E+001,-1.0481E-004
6.6793E+001,-1.0500E-004
6.7308E+001,-1.0483E-004
6.7823E+001,-1.0558E-004
6.8337E+001,-1.0703E-004
6.8852E+001,-1.0790E-004
6.9367E+001,-1.0823E-004
6.9882E+001,-1.0937E-004
7.0396E+001,-1.0960E-004
7.0911E+001,-1.0933E-004
7.1426E+001,-1.0977E-004
7.1941E+001,-1.1051E-004
7.2456E+001,-1.1147E-004
7.2970E+001,-1.1233E-004
7.3485E+001,-1.1245E-004
7.4000E+001,-1.1282E-004
7.4515E+001,-1.1323E-004
7.5029E+001,-1.1341E-004
7.5544E+001,-1.1401E-004
7.6059E+001,-1.1422E-004
7.6573E+001,-1.1427E-004
7.7088E+001,-1.1460E-004
7.7603E+001,-1.1441E-004
7.8118E+001,-1.1418E-004
7.8633E+001,-1.1404E-004
7.9147E+001,-1.1410E-004
7.9662E+001,-1.1517E-004
8.0177E+001,-1.1634E-004
8.0692E+001,-1.1729E-004
8.1206E+001,-1.1859E-004
8.1721E+001,-1.1901E-004
8.2236E+001,-1.1978E-004
8.2750E+001,-1.2135E-004
8.3265E+001,-1.2195E-004
8.3780E+001,-1.2302E-004
8.4295E+001,-1.2449E-004
8.4809E+001,-1.2503E-004
8.5324E+001,-1.2586E-004
8.5839E+001,-1.2640E-004
8.6354E+001,-1.2706E-004
8.6868E+001,-1.2743E-004
8.7383E+001,-1.2799E-004
8.7898E+001,-1.2861E-004
8.8413E+001,-1.2993E-004
8.8928E+001,-1.3163E-004
8.9442E+001,-1.3297E-004
8.9957E+001,-1.3425E-004
9.0472E+001,-1.3545E-004
9.0987E+001,-1.3656E-004
9.1501E+001,-1.3798E-004
9.2016E+001,-1.3915E-004
9.2531E+001,-1.4030E-004
9.3046E+001,-1.4146E-004
9.3560E+001,-1.4261E-004
9.4075E+001,-1.4406E-004
9.4590E+001,-1.4554E-004
9.5105E+001,-1.4717E-004
9.5619E+001,-1.4883E-004
9.6134E+001,-1.5025E-004
9.6649E+001,-1.5183E-004
9.7164E+001,-1.5353E-004
9.7678E+001,-1.5578E-004
9.8193E+001,-1.5821E-004
9.8708E+001,-1.6039E-004
9.9222E+001,-1.6285E-004
